                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.57741,                0.40816,                 1.1069,                0.95322,                0.95016,                0.97054,                0.84519,                0.53733,                0.35645,                 1.0717,             0.00042087,             0.00042087,             0.00042087
                     69,                0.56479,                0.41295,                 1.0958,                 0.9658,                0.94029,                0.97021,                0.84551,                0.53788,                0.36515,                 1.0696,              0.0004085,              0.0004085,              0.0004085
                     70,                0.55523,                 0.4127,                   1.09,                0.95614,                0.92987,                  0.969,                0.85285,                0.53982,                0.35355,                 1.0767,             0.00039613,             0.00039613,             0.00039613
                     71,                0.56095,                0.40163,                 1.0853,                 0.9437,                0.95442,                0.97066,                0.84371,                0.55243,                0.34836,                 1.0831,             0.00038375,             0.00038375,             0.00038375
                     72,                0.56539,                0.40758,                 1.0915,                0.96905,                0.92496,                0.97031,                0.85818,                0.53553,                0.34287,                 1.0643,             0.00037138,             0.00037138,             0.00037138
                     73,                 0.5664,                0.40155,                 1.0937,                 0.9384,                0.95511,                0.96685,                0.85412,                0.53592,                0.34977,                 1.0687,               0.000359,               0.000359,               0.000359
                     74,                0.55139,                0.39682,                 1.0842,                0.95616,                0.94353,                0.96809,                0.85122,                0.52984,                0.35055,                   1.06,             0.00034663,             0.00034663,             0.00034663
                     75,                0.55487,                0.40382,                 1.0834,                0.93971,                0.96909,                0.97223,                0.85949,                0.52926,                0.34137,                 1.0633,             0.00033425,             0.00033425,             0.00033425
                     76,                0.55814,                 0.3904,                 1.0897,                0.96017,                0.94701,                0.97085,                0.85312,                0.53521,                0.36688,                 1.0605,             0.00032188,             0.00032188,             0.00032188
                     77,                0.54685,                0.38599,                 1.0787,                0.96235,                0.93824,                0.96986,                  0.854,                0.54225,                0.35978,                  1.068,              0.0003095,              0.0003095,              0.0003095
                     78,                0.55194,                0.37606,                 1.0889,                0.95381,                 0.9612,                0.96598,                0.85431,                0.53424,                0.33683,                  1.064,             0.00029713,             0.00029713,             0.00029713
                     79,                0.54305,                0.37249,                 1.0827,                0.95362,                0.95242,                 0.9686,                0.85883,                0.52993,                0.34261,                 1.0652,             0.00028475,             0.00028475,             0.00028475
                     80,                0.54361,                0.38904,                 1.0691,                0.96528,                0.95331,                0.97023,                0.85449,                0.52434,                0.32916,                  1.064,             0.00027237,             0.00027237,             0.00027237
                     81,                0.54272,                0.38122,                 1.0734,                0.95092,                0.94819,                0.97096,                0.85425,                0.53226,                0.33832,                 1.0633,                0.00026,                0.00026,                0.00026
                     82,                0.52061,                0.36567,                 1.0618,                0.95579,                0.93966,                0.97078,                0.84915,                0.52811,                0.34669,                 1.0587,             0.00024762,             0.00024762,             0.00024762
                     83,                0.52769,                0.36866,                 1.0685,                0.94079,                0.94992,                0.97138,                0.86182,                0.52584,                0.34657,                  1.063,             0.00023525,             0.00023525,             0.00023525
                     84,                0.52797,                0.36921,                 1.0723,                0.95531,                0.94429,                0.97028,                0.85747,                0.51854,                 0.3346,                 1.0542,             0.00022288,             0.00022288,             0.00022288
                     85,                0.51961,                0.37235,                 1.0649,                0.95329,                0.94525,                 0.9738,                0.86047,                0.53287,                0.33934,                 1.0669,              0.0002105,              0.0002105,              0.0002105
                     86,                0.53808,                0.38262,                  1.072,                0.95408,                0.95233,                 0.9742,                0.86501,                0.51293,                0.33521,                 1.0506,             0.00019813,             0.00019813,             0.00019813
                     87,                0.52815,                0.37041,                 1.0705,                0.95629,                0.93662,                0.96839,                0.85751,                0.52564,                0.34264,                 1.0595,             0.00018575,             0.00018575,             0.00018575
                     88,                0.52339,                0.35799,                 1.0678,                0.95857,                0.93617,                0.96889,                0.86295,                0.52742,                0.34286,                 1.0669,             0.00017338,             0.00017338,             0.00017338
                     89,                0.51273,                0.35851,                 1.0558,                0.96367,                0.95164,                0.97301,                0.85854,                0.51903,                0.33756,                  1.055,               0.000161,               0.000161,               0.000161
                     90,                0.38666,                0.26665,                0.99973,                0.96122,                0.94752,                0.97002,                0.85153,                0.51653,                0.33886,                 1.0596,             0.00014862,             0.00014862,             0.00014862
                     91,                0.36415,                 0.2416,                0.98128,                0.95505,                0.95458,                0.97243,                0.85137,                0.52249,                0.33757,                 1.0665,             0.00013625,             0.00013625,             0.00013625
                     92,                0.36895,                 0.2419,                0.98515,                0.95192,                0.95156,                0.96666,                 0.8472,                0.52743,                0.34159,                 1.0658,             0.00012387,             0.00012387,             0.00012387
                     93,                0.36442,                0.23183,                0.98972,                0.95612,                0.95057,                0.96774,                0.85392,                0.52593,                0.34843,                  1.064,              0.0001115,              0.0001115,              0.0001115
                     94,                 0.3575,                0.23217,                 0.9744,                0.95063,                0.94441,                 0.9664,                0.85811,                0.51756,                0.34548,                 1.0553,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.35904,                0.23326,                0.97996,                0.94187,                0.95129,                0.96678,                0.85175,                0.51694,                0.34564,                 1.0575,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.34978,                 0.2212,                0.96832,                0.95865,                0.94071,                0.96701,                0.85548,                0.51484,                0.34676,                 1.0563,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.34849,                0.22668,                0.97427,                0.95716,                0.92953,                0.96753,                0.85819,                 0.5084,                0.34212,                 1.0472,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.35125,                0.21968,                0.97088,                0.95907,                 0.9294,                0.96687,                0.86098,                0.50811,                0.33544,                 1.0512,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                 0.3446,                0.22491,                 0.9559,                0.95779,                0.94083,                0.96703,                0.85888,                 0.5094,                0.34158,                 1.0532,              3.725e-05,              3.725e-05,              3.725e-05
